COMMON NAME,FAMILY,ENDEMIC,SIZE RANGE,SA DISTRIBUTION,HABITAT,DEPTH RANGE,MAJOR FISHERIES,IUCN STATUS,CITES,MLRA,COMPILER,REVIEWER,REPRODUCTIVE MODE,DURATION OF REPRO CYCLE,MATING SEASON,GESTATION,LITTER SIZE,PUPPING/NURSERY GROUND,LENGTH AT BIRTH,LENGTH AT MATURITY,AGE AT MATURITY,MAXIMUM LENGTH,GENERATION LENGTH,GENUS,SPECIES,SPECIES_SCIENTIFIC
Spinner shark,Carcharhinidae,No,60–278 cm TL,"E, S coasts: Mozambique border to Mossel Bay, possibly Struis Bay",Pelagic over sand bottoms and rocky reef areas,0–200 m; usually < 30 m,"KZN bather protection nets, KZN prawn trawl fishery and possibly linefishery",Vulnerable 2020,Not listed,Daily bag limit of one in recreational fishery,G Cliff,GL Jordaan,Placental viviparity,2 years,"Late summer, KZN waters",13–18 months,Mean of 9; maximum 17; n=273,Prolonged pupping season March to August inshore on central KZN coast,65–80 cm,"50% maturity F: 200 cm, M: 195 cm",NA,F: 266 cm; M: 233 cm,13-20 years (Australia and Gulf of Mexico),Carcharhinus,brevipinna,Carcharhinus brevipinna
Silky shark,Carcharhinidae,"No, circumglobal in tropical waters",78–330 cm TL,"E, S coasts: northern and central KZN and Agulhas Banks",Pelagic in oceanic and shelf edge waters,20–500 m,Pelagic longline fishery (purse seine fisheries elsewhere),Vulnerable 2017,Appendix II (2017),No retention in pelagic longline fishery; daily bag limit of one individual in recreational fishery,G Cliff,JD Filmalter,Placental viviparity,2 years,Generally aseasonal,12 months,"9–14, average 11",Generally aseasonal,78–87 cm,F: 200–260 cm; M: 210–240 cm,NA,330 cm,15 years,Carcharhinus,falciformis,Carcharhinus falciformis
Zambezi/bull shark,Carcharhinidae,No,60–400 cm TL,E and S coasts: Mozambique border to Breede River,"Open water close to sand bottoms and rocky reef areas, as well as estuaries",0–250 m,"KZN bather protection nets and KZN prawn trawl fishery, recreation and commercial linefisheries",Vulnerable 2020,Not listed,Daily bag limit of one in recreational fishery,G Cliff,R Daly,Placental viviparity,2 years (outside South Africa),Possibly summer,Approx. 12 months,9–12; range 6–12,Estuaries such as Lake St Lucia,60–80 cm,"50% maturity F: 250 cm, M: 244 cm",NA,F: 400 cm; M: 299 cm,26.5 years (only South Africa),Carcharhinus,leucas,Carcharhinus leucas
Blacktip shark/common blacktip shark,Carcharhinidae,No,50–288 cm TL,"E, S coasts: Mozambique border to Cape Point",Pelagic over sand bottoms and rocky reef areas,"0–140 m, usually < 30 m","Commercial and recreational linefishery, KZN bather protection nets",Vulnerable 2020,Not listed,Daily bag limit of one in recreational fishery,G Cliff,R Daly,Placental viviparity,2 years,Summer,12 months,Mean of 6; maximum 11,Unknown,60–65 cm,"50% maturity F: 205 cm, M: 200 cm",NA,F: 288 cm; M: 255 cm,13-20 years (Australia and Gulf of Mexico),Carcharhinus,limbatus,Carcharhinus limbatus
Oceanic whitetip shark,Carcharhinidae,"No, Indo-Pacific","60–350 cm, possibly 395 cm TL","E, S coasts: Mozambique border to south off Cape Point",Pelagic in oceanic waters,0–1000 m,Pelagic longline and small pelagic fisheries,Critically Endangered 2018,Appendix II (2013),No retention in pelagic or demersal longline fishery; daily bag limit of one individual in recreational fishery,G Cliff,JD Filmalter,Placental viviparity,Probably 2 years,Summer: December and January,12 months,1–15; but 6–8 (n=5) in KZN,Summer: December and January,60-65 cm,F:180–190 cm; M: >190 cm,NA,"350 cm, possibly 395 cm",20.4 years,Carcharhinus,longimanus,Carcharhinus longimanus
Blacktip reef shark,Carcharhinidae,"No, Indo-Pacific",30–180 cm TL,Unconfirmed but likely E coast: Mozambique border to Sodwana,Coral reef environments,0–75 m,Not listed in South African fisheries,Vulnerable 2020,Not listed,Daily bag limit of one individual in recreational fishery,G Cliff,BQ Mann,Placental viviparity,2 years (Seychelles),Spring: October and November (Seychelles),12 months (Seychelles),"2–5, mean 4 from ±18 litters (W Indian Ocean)",Spring: October and November (Seychelles),50–70 cm (W Indian Ocean),F: 110 cm; M: 105 cm (W Indian Ocean),NA,180 cm; usually < 160 cm (W Indian Ocean),±14 years (W Pacific),Carcharhinus,melanopterus,Carcharhinus melanopterus
Dusky shark,Carcharhinidae,No,85–377 cm TL,"E, S coasts: Mozambique border to False Bay",Pelagic over sand bottoms and rocky reef areas,"0–400 m; juveniles common close inshore, adults off shelf edge","KZN bather protection nets, line and longline fisheries, KZN prawn trawl fishery",Endangered 2018,Not listed,No retention in pelagic longline fishery; slot limits of 70–130 cm in demersal shark longline fishery; daily bag limit of one in recreational fishery,G Cliff,R Daly,Placental viviparity,3 years,Unknown location and time of the year,2 years,Median of 10; maximum 16; n=285,"Prolonged pupping season, but mostly March to July inshore on central and southern KZN coast",85-100 cm,"50% maturity F: 285 cm, M: 280 cm",NA,F: 377 cm; M: 343 cm,38 years,Carcharhinus,obscurus,Carcharhinus obscurus
Sandbar shark,Carcharhinidae,No,60–240 cm TL,E coast: Mozambique border to Algoa Bay,Demersal and pelagic on sand bottoms and rocky reef areas in coastal waters,0–280 m but more commonly 5–50 m,"KZN prawn trawl fishery, KZN bather protection nets, recreational linefishery",Endangered 2020,Not listed,Slot limits of 70–130 cm in the demersal shark longline fishery; daily bag limit of one in recreational fishery,G Cliff,SFJ Dudley,Placental viviparity,2 years,Late October to January,12 months,Mean of 7; range 4–10; n=42,"December and January, possibly uThukela Banks region, or inshore thereof",60–65 cm,50% maturity F: 168 cm; M: 164 cm,NA,F: 218 cm; M: 213 cm,Not calculated,Carcharhinus,plumbeus,Carcharhinus plumbeus
Sicklefin lemon shark/Longtooth lemon shark,Carcharhinidae,"No, Indo-Pacific",60–340 cm TL,Northern part of E coast: Mozambique border to Richards Bay,"Shallow inshore waters, associated with coral reefs and mangroves",0–90 m,None in South Africa,Endangered 2020,Not listed,Daily bag limit of one individual in recreational fishery,G Cliff,R Daly,Placental viviparity,2 years,October-November,10–11 months,6–12; mean 9 (n=4),Spring: October,60–65 cm,F 220 cm; M 220 cm,NA,310 cm,"16.5 years, based on Negaprion brevirostris",Negaprion,acutidens,Negaprion acutidens
Milk shark,Carcharhinidae,"No, Indo-Pacific and possibly E Atlantic",30–110 cm TL,E coast: Mozambique border to Algoa Bay,Sandy beaches,1–200 m,Bycatch in KZN prawn trawl fishery and recreational linefishery,Vulnerable 2020,Not listed,Daily bag limit of one individual in recreational fishery,G Cliff,S Viana,Placental viviparity,Possibly 1 year locally; > 1 year: Arabian Seas,Early summer,12 months,"2–8, usually 3–6",November–January,30–35 cm,F: 70–80 cm; M: 68–72 cm,NA,F: 102 cm; M 89 cm,"5 years: Australia, Arabian Sea",Rhizoprionodon,acutus,Rhizoprionodon acutus
Whitetip reef shark,Carcharhinidae,"No, Indo-Pacific",50–200 cm TL,E coast: Mozambique border to southern KZN,Coral and occasionally rocky reefs,"5–40 m, occasionally as deep as 330 m",None in South Africa,Vulnerable 2020,Not listed,Daily bag limit of one individual in recreational fishery,G Cliff,N Cullain,Placental viviparity,"1 year, possibly 2 (Pacific)",Unknown,10-12 months (Pacific),2–3 (W Indian Ocean); 1–5 elsewhere,Spring: October (Pacific),52–60 cm (Madagascar),F 105 cm; M 105 cm,NA,"200 cm, rarely over 160 cm",12.3 years,Triaenodon,obesus,Triaenodon obesus
Scalloped hammerhead,Sphyrnidae,"No, circumglobal in tropical and warm temperate waters",40–325 cm TL,E coast: Mozambique border to Port St Johns,Pelagic in coastal and semi-oceanic waters,"0–275 m, but down to 1000 m around seamounts",Pelagic longlines; trawl netting; bather protection nets,Critically Endangered 2018,Appendix II (2013),No retention in any longline fisheries; daily bag limit of one individual in recreational fishery,G Cliff,R Daly,Placental viviparity,Possibly 1 year,Spring and summer,9–12 months,"2–19, median=10 from 11 litters","Spring, summer; Thukela Banks",40–50 cm,F:245 cm; M:215 cm,NA,F: at least 324 cm; M: at least 306 cm,18.3 years,Sphyrna,lewini,Sphyrna lewini
Great hammerhead shark,Sphyrnidae,"No, circumglobal in tropical and subtropical waters",50–610 cm TL (rare >400 cm),E coast: KZN,Pelagic in coastal and semi-oceanic waters,1–300 m,"Pelagic longlines, linefishery, bather protection nets",Critically Endangered 2018,Appendix II (2013),No retention in any longline fisheries; daily bag limit of one individual in recreational fishery,G Cliff,A Kock,Placental viviparity,Possibly 2 years (northern Australia),Summer (northern Australia),10–11 months (northern Australia),"6–42, mean 30 (northern Australia)",location unknown; summer (Australia),50–70 cm (Australia),F: 320 cm; M: 290 cm (South Africa),"F and M: 5–8 years (NW Atlantic, W Pacific)",F: 442 cm; M: 364 cm (South Africa); 610 cm elsewhere,24.8 years (NW Atlantic; W Pacific),Sphyrna,mokarran,Sphyrna mokarran
Smooth hammerhead shark,Sphyrnidae,No; circumglobal in temperate and tropical seas,60–400 cm TL,"E, S, W coasts: Mozambique border to St Helena Bay",Pelagic in coastal and semi-oceanic waters,"0–200 m, but as deep as 500 m","Commercial linefishery, demersal shark longlines, pelagic longlines, inshore trawl fishery, bather protection nets and recreational linefishery",Vulnerable 2018,Appendix II (2013),No retention in any longline fisheries; daily bag limit of one individual in recreational fishery,G Cliff,A Kock,Placental viviparity,Unknown locally; 1 year in W Atlantic,"Unknown locally, includes February",About 12 months,Mean: 32; max 49 (western Pacific),"Unconfirmed, includes February",About 60 cm,F: 265 cm; M: 250–260 cm (western Pacific),Unknown,400 cm,24.1 years,Sphyrna,zygaena,Sphyrna zygaena
Ornate sleeper ray,Narkidae,Yes part of E coast,At least 52 cm TL,E coast: Umhlanga to Coffee Bay,Sand patches adjacent to rocky reefs,5–50 m,None listed,Least Concern 2018,Not listed,Daily bag limit of one individual in recreational fishery,G Cliff,DA Ebert,Lecithotrophic viviparity,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,NA,52 cm TL,Unknown,Electrolux,addisoni,Electrolux addisoni
Natal sleeper ray,Narkidae,"No, but only also occurs in Mozambique",?–30 cm TL,E coast: Mozambique border to Algoa Bay,Soft substrates on outer shelf and upper slope,70–330 m,Demersal trawl fisheries,Near Threatened 2019,Not listed,Daily bag limit of one individual in recreational fishery,G Cliff,DA Ebert,Lecithotrophic viviparity,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,M: ±9 cm,NA,16 cm,Extrapolated to 5 years (see text below),Heteronarce,garmani,Heteronarce garmani
Onefin sleeper ray,Narkidae,"Yes, as records from Namibia, Madagascar and Mozambique require confirmation",At least 38 cm TL,"E, S coasts: central KZN to Cape Point",Sand patches adjacent to rocky reefs,20–115 m,Demersal trawl fisheries,Least Concern 2018,Not listed,Daily bag limit of one individual in recreational fishery,G Cliff,DA Ebert,Lecithotrophic viviparity,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,F: 23 cm; M: 18–23 cm,NA,38 cm,Unknown,Narke,capensis,Narke capensis
Largetooth sawfish,Pristidae,"No, circumglobal including much of Western Indian Ocean",72–660 cm TL,E coast: Mozambique border to Port Alfred,"Demersal on sand and mud bottoms, including estuaries and freshwater",0–10 m,"KZN bather protection nets, illegal estuarine gillnet fisheries, recreational linefishery",Critically Endangered 2013,"Appendix II (2007), upgraded to Appendix I (2013)",No targeted catch in any fishery,G Cliff,BI Everett,Lecithotrophic viviparity,Possibly 1 (W Atlantic) or 2 (N Australia) years,Unknown,5 months (Lake Nicaragua),"1–13, mean 7 (Lake Nicaragua)",Unknown,72–90 cm (N Australia),F: 300 cm; M: 280–300 cm (N Australia),NA,"At least 660 cm, possibly over 700 cm",14.6 years,Pristis,pristis,Pristis pristis
Green sawfish,Pristidae,"No, Indo-West Pacific Ocean",75–730 cm TL,E coast: KZN and possibly further south,"Demersal on sand and mud bottoms, including estuaries and freshwater",0-70 m,"KZN bather protection nets, illegal estuarine gillnet fisheries, recreational linefishery",Critically Endangered 2012,Appendix II (2007); Appendix I (2013),No targeted catch in any fishery,G Cliff,BI Everett,Lecithotrophic viviparity,Unknown,Unknown,Unknown,About 12 (N Australia),St Lucia estuarine system,76 cm (N Australia),340–380 cm (N Australia),NA,"At least 700 cm, possibly 730 cm",14.6 years,Pristis,zijsron,Pristis zijsron
Bowmouth guitarfish (shark ray elsewhere),Rhinidae,"No, Indo-West Pacific Ocean",46–270 cm TL,E coast: entire KZN,Demersal on coral and rocky reefs; sand and mud bottoms,0–70 m,"KZN prawn trawl fishery, KZN bather protection programme, recreational linefishery",Critically Endangered 2018,Appendix II (2019),No retention in pelagic and demersal longline fisheries; daily bag limit of one individual in recreational fishery,G Cliff,AV Towner,Lecithotrophic viviparity,Unknown,Unknown,Unknown,2–11 (W Pacific),Unknown,46–48 cm (W Pacific),F: ±180 cm; M: 150–175 cm (W Pacific),NA,270 cm; not sexed (W Pacific),15 years,Rhina,ancylostomus,Rhina ancylostomus
Whitespotted wedgefish (formerly giant guitarfish),Rhinidae,"No, Western Indian Ocean",65–310 cm TL,"E, S coasts: Mozambique border to Knysna",Demersal on coral and rocky reefs; sand and mud bottoms,"0–70 m, but most abundant 0–35 m",uThukela Banks prawn trawl fishery; bather protection nets; recreational shore angling,Critically Endangered 2018,Appendix II (2019),No retention in pelagic and demersal longline fisheries; daily bag limit of one individual in recreational fishery,G Cliff,R Daly,Lecithotrophic viviparity,Unknown,Unknown,Unknown,"4, based on a single pregnant female",Possibly late summer; includes uThukela Banks,65 cm,F: ±180 cm; M: 155 cm,NA,F: 310 cm; M: 195 cm,15 years,Rhynchobatus,djiddensis,Rhynchobatus djiddensis
Lesser guitarfish,Rhinobatidae,"No, currently regarded as a southern African endemic",20–140 cm TL,"E, S, W coasts: central KZN to Langebaan (possibly into Namibia)",Demersal on sand bottoms,"0–100 m, but most abundant 0–70 m","Inshore demersal trawl fishery, recreational shore angling and gill and beach seine net fisheries",Vulnerable 2019,Not listed,Daily bag limit of one individual in recreational fishery,G Cliff,C Elston and PD Cowley,Lecithotrophic viviparity,Annual,May-June,10 months,"2–10, mean of 5",Late summer (March-April) in shallows,20–25 cm,F: 61–65 cm; M: 58 cm (50% maturity),NA,140 cm,5 (4.76) years,Acroteriobatus,annulatus,Acroteriobatus annulatus
Greyspot guitarfish,Rhinobatidae,"No, SW Indian Ocean",25–120 cm TL,E coast only: Mozambique border to Kei River mouth,Demersal on sandy bottoms,"0–100 m, but most abundant 0–40 m","KZN prawn trawl fishery, recreational shore angling and possibly other trawl fisheries",Endangered 2018,Not listed,Daily bag limit of one individual in recreational fishery,G Cliff,GL Jordaan,Lecithotrophic viviparity,Unknown,Unknown,Unknown,44966,uThukela Banks,25 cm,F: 55 cm; M: 55 cm,NA,F: 120 cm; M: 120 cm,Possibly 5 years,Acroteriobatus,leucospilus,Acroteriobatus leucospilus
Tigertail skate,Rajidae,Yes,<14– >52 cm TL,"E, S, W coasts: central KZN to Strandfontein",Unknown,480–625 m,None listed,Data Deficient 2018,Not listed,Daily bag limit of one individual in recreational fishery,G Cliff,DA Ebert,Oviparity,Unknown,Unknown,Unknown,Unknown,Unknown,"Unknown, < 14 cm",Unknown,NA,At least 52 cm,Unknown,Leucoraja,compagnoi,Leucoraja compagnoi
Yellowspotted skate,Rajidae,"No, regional endemic also found in Mozambique and Namibia",< 16–96 cm TL,"E, S, W coasts: entire South African coast",Demersal on soft bottoms of outer shelf and upper slope,"75–515 m, but most common at 150–300 cm",Demersal trawl fishery,Vulnerable 2019,Not listed,Daily bag limit of one individual in recreational fishery,G Cliff,C da Silva and ST Fennessy,Oviparity,Unknown,Unknown,Unknown,Unknown,Possibly year round,< 16 cm,"F: 67 cm, M: 66 cm (S coast); F: 80 cm, M: 77 cm (W coast)",NA,"F: 70 cm, M: 78 cm (S coast); F: 96 cm, M: 87 cm (W coast)",12 years,Leucoraja,wallacei,Leucoraja wallacei
"African pygmy skate, South African dwarf skate",Rajidae,Yes,< 15–37 cm TL,"E, S, W coasts: Algoa Bay to southwest of Orange River mouth",Demersal on shelf and upper slope,100–1025 m,Possibly the demersal trawl fishery,Least Concern 2018,Not listed,None,G Cliff,DA Ebert,Oviparity,Unknown,Unknown,Unknown,Possibly 2,Unknown,< 15 cm,F: 30 cm; M: 31 cm,NA,F: 37 cm; M: 38 cm,Unknown,Neoraja,stehmanni,Neoraja stehmanni
Twineye skate,Rajidae,"Yes, Namibian specimens appear to be another species",53 cm TL,"E, S coasts: Richards Bay to False Bay",Demersal on soft bottoms of outer shelf and upper slope,"15–420 m, most <200 m","Demersal trawl fishery, commercial linefish and demersal shark longline",Endangered 2019,Not listed,Daily bag limit of one individual in recreational fishery,C da Silva,G Cliff,Oviparity,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Both sexes: 42 cm,NA,F: 53 cm; M: 52 cm,9 years (inferred from congener Raja ravidula),Raja,ocellifera,Raja ocellifera
"White skate, spearnose skate",Rajidae,"No, also found in Mozambique and Namibia",30–240 cm TL,"E, S, W coasts: entire South African coast",Demersal on rock and sand bottoms of outer shelf and upper slope,5–470 m,"Demersal trawl fishery, demersal shark longline fishery and recreational linefishery",Endangered 2006,Not listed,Daily bag limit of one individual in recreational fishery,G Cliff,C da Silva,Oviparity,Unknown,Unknown,Up to 18 months,Unknown,"Unknown, no seasonal pattern",Unknown locally; 30 cm elsewhere,F: 195 cm; M: 167 cm,NA,F: 240 cm; M: 198 cm,"25–30 years, based on Raja clavata",Rostroraja,alba,Rostroraja alba
Smoothnose pygmy skate,Gurgesiellidae,Yes,At least 31 cm TL,W coast: Hondeklip Bay to Port Nolloth,Demersal on soft bottoms of outer shelf and upper slope,Around 860 m,Demersal trawl fishery,Data Deficient 2019,Not listed,None,C da Silva,G Cliff,Oviparity,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,NA,At least 31 cm,Unknown,Cruriraja,durbanensis,Cruriraja durbanensis
Thorntail stingray/brown stingray,Dasyatidae,"No, E Atlantic and Indo-Pacific",35–260 cm DW,"E, S and part of W coast: Mozambique border to St Helena Bay",Demersal on soft bottoms,0–800 m,None listed but caught in KZN prawn trawl fishery and recreational linefishery,Vulnerable 2020,Not listed,Daily bag limit of one individual in recreational fishery,G Cliff,C Elston,Histotrophic viviparity,Unknown,Unknown,About 4 months (outside South Africa),2–6 (outside South Africa),Unknown,34–37 cm (outside South Africa),F: 110–160 cm; M: 80–150 cm (outside South Africa),NA,260 cm,21.5 years (Hawaii),Bathytoshia,lata,Bathytoshia lata
Leopard whipray,Dasyatidae,"No, Indo-West Pacific Ocean",20–140 cm DW,E coast: Mozambique border to East London,Demersal on sand and mud bottoms,0–70 m,"None listed but KZN prawn trawl fishery and recreational linefishery; possibly commercial linefishery, demersal trawl and hake longline fisheies",Vulnerable 2015,Not listed,Daily bag limit of one individual in recreational fishery,G Cliff,C Elston and PD Cowley,Histotrophic viviparity,Unknown,Unknown,12 months; pupping in summer,3–5,Possibly uThukela Banks,±20 cm (outside South Africa),F: ?; M: 70–80 cm (outside South Africa),NA,140 cm,20 years (inferred from Himatura astra),Himantura,leoparda,Himantura leoparda
Reticulate whipray/stingray,Dasyatidae,"No, Indo-West Pacific Ocean",28–200 cm DW,E coast: Mozambique border to East London,Demersal on sand and mud bottoms,0–50 m,"Thukela Banks (KZN) prawn trawl fishery and possibly commercial linefishery, demersal and hake longline fisheries",Vulnerable 2015,Not listed,Daily bag limit of one individual in recreational fishery,G Cliff,C Elston,Histotrophic viviparity,Unknown,Unknown,Unknown,3–5,Unknown,28–30 cm; 21–28 cm outside South Africa,100 cm; 82–84 cm outside South Africa,NA,200 cm; 160 cm outside South Africa,20 years (inferred from Himatura astra),Himantura,uarnak,Himantura uarnak
Broad cowtail ray/feathertail ray,Dasyatidae,"No, tropical Indo-Pacific",18–200 cm DW,E coast only: northern KZN,Demersal on soft bottoms,0–60 m,None listed,Vulnerable 2020,Not listed,Daily bag limit of one individual in recreational fishery,G Cliff,C Elston,Histotrophic viviparity,Unknown,Unknown,Unknown,2 (outside South Africa),Unknown,18 cm and larger (Australia),Unknown,NA,200 cm (outside South Africa),"21.5 years, inferred from Maculabatis astra",Pastinachus,ater,Pastinachus ater
Pink whipray,Dasyatidae,"No, Indo-West Pacific Ocean",30–180 cm DW,E coast: Mozambique border to Durban,Demersal on sandy bottoms and coral rubble,0–200 m,None listed,Vulnerable 2015,Not listed,Daily bag limit of one individual in recreational fishery,G Cliff,C Elston,Histotrophic viviparity,Unknown,Unknown,Unknown,Unknown,Unknown,30–55 cm (outside South Africa),F: ?; M: 108-122 cm (outside South Africa),NA,At least 180 cm (outside South Africa),20 years (inferred from Himatura astra),Pateobatis,fai,Pateobatis fai
Jenkins whipray,Dasyatidae,"No, Indo-West Pacific Ocean",30–150 cm DW,E coast: Mozambique border to Durban,Demersal on sandy bottoms and coral rubble,"0–50 m, possibly 90 m",None listed,Vulnerable 2015,Not listed,Daily bag limit of one individual in recreational fishery,G Cliff,C Elston,Histotrophic viviparity,Unknown,Unknown,Unknown,2 (n=1; Durban Bay),Unknown,23 cm,F: 80 ±cm; M: 70-85 cm,NA,150 cm,20 years (inferred from Himantura astra),Pateobatis,jenkinsii,Pateobatis jenkinsii
Round ribbontail ray/Blotched stingray/Fantail ray,Dasyatidae,"No, Indo-West Pacific Ocean",30–180 cm DW,E coast only: KZN,Demersal on sand patches in or close to rock reefs,0–440 m,None listed,Vulnerable 2015,Not listed,Daily bag limit of one individual in recreational fishery,G Cliff,C Elston,Histotrophic viviparity,10 months (in captivity),Unknown,Well under 10 months (in captivity),Up to 7,Unknown,36 cm (in captivity); 30–35 cm (outside South,Africa),NA,180 cm,21.5 years inferred from Dasyatis lata,Taeniurops,meyeni,Taeniurops meyeni
"Porcupine whipray, porcupine ray",Dasyatidae,"No, Indo-West Pacific Ocean",Attains at least 115 cm DW,E coast: KZN,Demersal on sand and coral reefs,0–30 m,None listed,Vulnerable 2015,NA,Daily bag limit of one individual in recreational fishery,G Cliff,C Elston,Histotrophic viviparity,Unknown,Unknown,Unknown,Unknown,"St. Joseph Atoll, Seychelles",Unknown,F: ±110cm; M: 90 ±cm,NA,115 cm,21.5 years inferred from Dasyatis lata,Urogymnus,asperrimus,Urogymnus asperrimus
"Spotted eagle ray, ocellated eagle ray",Aetobatidae,"No, Indo-Pacific Ocean","33–330 cm DW, but generally < 160 cm DW","E, S coasts: Mozambique border to Knysna","Pelagic, coastal and estuarine waters, often near coral and rock reefs","0–60 m, possibly 100 m","Demersal trawls, including KZN prawn fishery; KZN bather protection programme",Vulnerable 2015,Not listed,Daily bag limit of one individual in recreational fishery,G Cliff,A Towner,Histotrophic viviparity,Possibly not annual,Unknown,Unknown,"Up to 10, but usually 4 or less",Unknown,18–50 cm,F: 150–160 cm; M: 100–130 cm,NA,At least 300 cm,Approximately 12 years,Aetobatus,ocellatus,Aetobatus ocellatus
Bullray/duckbill (eagle) ray,Myliobatidae,"No, widely distributed in the E Atlantic and Mediterranean","25–180 cm DW, possibly 220 cm","E, S, W coasts: entire South African coast","Active swimmer, near the bottom of coastal waters; usually over sand but also feeds on rocky reefs","0–55 m, 150 m outside South Africa","Trawl fisheries, KZN bather protection programme, commercial and recreational linefisheries",Critically Endangered 2020,Nil,Daily bag limit of one individual in recreational fishery,G Cliff,C Elston,Histotrophic viviparity,Unknown,Unknown,Possibly 12 months,At least 3; 3-6 elsewhere,Unknown,25 cm,95 cm,NA,"180 cm, 220 cm elsewhere","17 years, based on Myliobatis californicus",Aetomylaeus,bovinus,Aetomylaeus bovinus
Ornate eagle ray,Myliobatidae,"No, Indo-Pacific Ocean","?–300 cm DW, possibly 350 cm",E coast: Mozambique border to Richards Bay,Pelagic over coral reefs and inshore muddy bays,0–110 m,None listed,Endangered 2015,Not listed,Daily bag limit of one individual in recreational fishery,G Cliff,A Towner,Histotrophic viviparity,Unknown,Unknown,Unknown,Up to 4,Unknown,Unknown,F: ? cm; M: ±170 cm,NA,"At least 300 cm, possibly 350 cm",15 years; inferred from Myliobatis californicus,Aetomylaeus,vespertilio,Aetomylaeus vespertilio
Common eagle ray,Myliobatidae,"No, widely distributed in the E Atlantic and Mediterranean",<20-150 cm DW,"E, S and W coasts: Durban to Orange River mouth","Active swimmer, near the bottom of coastal waters; usually over sand but also feeds on rocky reefs",0-100 m,"Trawl fisheries, beach seine nets, commercial and recreational linefisheries, KZN bather protection programme",Critically Endangered 2020 (global); Least Concern (South Africa),Nil,Daily bag limit of one individual in recreational fishery,G Cliff,C Elston,Histotrophic viviparity,Unknown,Unknown,Unknown locally; 6–8 months elsewhere,7 (1 local female); 3–7 elsewhere,Unknown,20–23 cm locally; ±19 cm elsewhere,F: 42–70 cm; M: 32–50 cm,NA,150 cm,"12 years, based on Myliobatis californicus",Myliobatis,aquila,Myliobatis aquila
Reef manta ray,Mobulidae,"No, circumtropical in the Indo-West Pacific",130–500 cm disc width (DW),E coast: KZN,Pelagic in coastal continental waters and around islands and seamounts,0–430 m,KZN bather protection nets and small pelagic fishery,Vulnerable 2018,Appendix II (2013) upgraded to Appendix I (2016),Retention prohibited in linefishery and longline fishery; daily bag limit of one individual in recreational fishery,G Cliff,AD Marshall,Histotrophic viviparity,Mostly biennial in southern Mozambique,Very little seasonality in southern Mozambique,Approximately 1 year,1,Summer in southern Mozambique,130–150 cm (several locations),F: 400 cm; M: 280-300 cm (Mozambique),NA,"500 cm, but rarely exceeds 400 cm",29 years,Mobula,alfredi,Mobula alfredi
Giant manta ray,Mobulidae,"No, circumglobal in tropical and temperate waters",?–700 cm disc width (DW),"E, S, W coasts: Mozambique border to Table Bay",Pelagic in coastal and oceanic waters,0–1000 m,KZN bather protection nets and small pelagic fishery,Endangered 2019,Appendix II (2013),Retention prohibited in linefishery and longline fishery; daily bag limit of one individual in recreational fishery,G Cliff,AD Marshall,Histotrophic viviparity,Unknown,Summer (Japan),Unknown,1,Unknown,120–200 cm,F: >400 cm; M: 400 cm (Mozambique),NA,At least 700 cm,"±29 years, inferred from M. alfredi",Mobula,birostris,Mobula birostris
Longhorned pygmy devilray/pygmy devilray,Mobulidae,"No, tropical in the Indo-West Pacific",43–130 cm disc width (DW),E coast: Mozambique border to Durban,Pelagic in coastal waters,0–50 m,KZN bather protection nets and small pelagic fishery,Endangered 2020,Appendix II (2017),Daily bag limit of one individual in recreational fishery,G Cliff,AD Marshall,Histotrophic viviparity,"Unknown, but possibly 1–3 years",Unknown,>10 months,1,Unknown,43 cm,F: 92 cm; M: 99 cm,NA,130 cm,"12.8 years, inferred from M. mobular",Mobula,eregoodoo,Mobula eregoodoo
Shorthorn pygmy devilray/shortfin devilray,Mobulidae,"No, tropical in the Indo-West Pacific",31–>135 cm disc width (DW),E coast: Mozambique border to Port Alfred,Pelagic in coastal waters,0–50 m,KZN bather protection nets and small pelagic fishery,Endangered 2020,Appendix II (2017),Daily bag limit of one individual in recreational fishery,G Cliff,AD Marshall,Histotrophic viviparity,"Unknown, but possibly 1–3 years",Unknown,Unknown,"1, occasionally 2",Unknown,31–34 cm,F: 134 cm; M: 115 cm,NA,>135 cm,12.8 years inferred from M. mobular,Mobula,kuhlii,Mobula kuhlii
Giant devilray/spinetail devilray,Mobulidae,"No, patchy but circumglobal",90–520 cm disc width (DW),E coast: Mozambique border to Port Alfred,Pelagic in coastal and oceanic waters,0–1100 m,KZN bather protection nets and small pelagic fishery,Endangered 2018,Appendix II (2017),Daily bag limit of one individual in recreational fishery,G Cliff,AD Marshall,Histotrophic viviparity,"Unknown, but possibly 1-3 years",Unknown,12 months,"1, occasionally 2",Unknown,90–160 cm,F: 215–240 cm; M: 150–158 cm,NA,520 cm,12.8 years,Mobula,mobular,Mobula mobular
