"SPECIES_SCIENTIFIC","LONGITUDE","LATITUDE","DATATYPE","OWNER","DAY","MONTH","YEAR","GENUS","SPECIES","date","east_boundary","west_boundary"
"SPHYRNA SP.",25.71313,-34.03752,"BRUV","NRF-SAIAB MARIP",30,4,2016,"SPHYRNA","SP.",2016-04-30,25.71313,NA
"CARCHARHINUS PLUMBEUS",32.9203,-27.04546,"BRUV","NRF-SAIAB MARIP",13,11,2020,"CARCHARHINUS","PLUMBEUS",2020-11-13,32.9203,NA
"SPHYRNA ZYGAENA",32.89917,-27.06063,"BRUV","NRF-SAIAB MARIP",13,11,2020,"SPHYRNA","ZYGAENA",2020-11-13,32.89917,NA
"CARCHARHINUS SP.",32.7355166666667,-27.43815,"BRUV","NRF-SAIAB MARIP",8,11,2016,"CARCHARHINUS","SP.",2016-11-08,32.7355166666667,NA
"DASYATIS CHRYSONOTA",31.1194,-29.83984,"BRUV","NRF-SAIAB MARIP",13,4,2017,"DASYATIS","CHRYSONOTA",2017-04-13,31.1194,NA
"MUSTELUS PALUMBES",22.33119,-34.06694,"BRUV","NRF-SAIAB MARIP",11,3,2021,"MUSTELUS","PALUMBES",2021-03-11,22.33119,NA
"TORPEDO FUSCOMACULATA",29.21921,-31.95103,"BRUV","NRF-SAIAB MARIP",24,5,2021,"TORPEDO","FUSCOMACULATA",2021-05-24,29.21921,NA
"HIMANTURA LEOPARDA",32.88681,-27.04851,"BRUV","NRF-SAIAB MARIP",13,11,2020,"HIMANTURA","LEOPARDA",2020-11-13,32.88681,NA
"HIMANTURA SP.",32.685593,-27.514023,"BRUV","SharkLife",16,11,2020,"HIMANTURA","SP.",2020-11-16,32.685593,NA
"SQUATINA AFRICANA",30.01908,-31.33774,"BRUV","NRF-SAIAB MARIP",11,5,2015,"SQUATINA","AFRICANA",2015-05-11,30.01908,NA
"SQUALUS SP.",31.1608,-29.8825,"BRUV","ORI",10,6,2016,"SQUALUS","SP.",2016-06-10,31.1608,NA
"ACROTERIOBATUS SP.",31.12411,-29.84634,"BRUV","NRF-SAIAB MARIP",13,4,2017,"ACROTERIOBATUS","SP.",2017-04-13,31.12411,NA
"NEOTRYGON CAERULEOPUNCTATA",32.89124,-27.04433,"BRUV","NRF-SAIAB MARIP",13,11,2020,"NEOTRYGON","CAERULEOPUNCTATA",2020-11-13,32.89124,NA
"NEOTRYGON SP.",30.30082,-30.98703,"BRUV","NRF-SAIAB MARIP",10,5,2015,"NEOTRYGON","SP.",2015-05-10,30.30082,NA
"PATEOBATIS FAI",32.72306,-27.47168,"BRUV","NRF-SAIAB MARIP",12,6,2017,"PATEOBATIS","FAI",2017-06-12,32.72306,NA
"ROSTRORAJA ALBA",28.3781364932656,-32.7056473866105,"BRUV","NRF-SAIAB MARIP",15,4,2016,"ROSTRORAJA","ALBA",2016-04-15,28.3781364932656,NA
"RHINOBATIDAE SP.",21.9185,-34.35273,"BRUV","NRF-SAIAB MARIP",13,3,2021,"RHINOBATIDAE","SP.",2021-03-13,21.9185,NA
"PATEOBATIS JENKINSII",32.93974,-26.89912,"BRUV","NRF-SAIAB MARIP",16,11,2020,"PATEOBATIS","JENKINSII",2020-11-16,32.93974,NA
"PTEROPLATYTRYGON VIOLACEA",32.71101,-27.48131,"BRUV","NRF-SAIAB MARIP",12,6,2017,"PTEROPLATYTRYGON","VIOLACEA",2017-06-12,32.71101,NA
"MUSTELUS SP.",32.2096,-28.8773,"BRUV","ORI",15,6,2016,"MUSTELUS","SP.",2016-06-15,32.2096,NA
"PORODERMA PANTHERINUM",29.45552,-31.739,"BRUV","NRF-SAIAB MARIP",13,5,2021,"PORODERMA","PANTHERINUM",2021-05-13,29.45552,NA
"SCYLLIOGALEUS QUECKETTI",30.30823,-30.98283,"BRUV","NRF-SAIAB MARIP",10,5,2015,"SCYLLIOGALEUS","QUECKETTI",2015-05-10,30.30823,NA
"MISTAKE",22.31263,-34.06204,"BRUV","NRF-SAIAB MARIP",10,3,2021,"MISTAKE","",2021-03-10,22.31263,NA
"LOXODON MACRORHINUS",32.89791,-27.08029,"BRUV","NRF-SAIAB MARIP",13,11,2020,"LOXODON","MACRORHINUS",2020-11-13,32.89791,NA
"RHIZOPRIONODON ACUTUS",32.6074833333333,-27.8910833333333,"BRUV","NRF-SAIAB MARIP",4,11,2016,"RHIZOPRIONODON","ACUTUS",2016-11-04,32.6074833333333,NA
"TRIAKIS MEGALOPTERUS",27.7886882051825,-33.1145398411899,"BRUV","NRF-SAIAB MARIP",18,3,2016,"TRIAKIS","MEGALOPTERUS",2016-03-18,27.7886882051825,NA
"TAENIUROPS MEYENI",32.89409,-26.90368,"BRUV","NRF-SAIAB MARIP",19,6,2017,"TAENIUROPS","MEYENI",2017-06-19,32.89409,NA
"TRIAENODON OBESUS",32.8873,-26.91374,"BRUV","NRF-SAIAB MARIP",19,6,2017,"TRIAENODON","OBESUS",2017-06-19,32.8873,NA
"MYLIOBATIS SP.",20.939209,-34.372206,"BRUV","UM",24,3,2019,"MYLIOBATIS","SP.",2019-03-24,20.939209,NA
"SCYLIORHINIDAE SP.",31.32,-29.56385,"BRUV","ORI",27,5,2014,"SCYLIORHINIDAE","SP.",2014-05-27,31.32,NA
"SPHYRNIDAE SP.",32.157617,-29.017683,"BRUV","ORI",8,5,2018,"SPHYRNIDAE","SP.",2018-05-08,32.157617,NA
"SCYLIORHINUS CAPENSIS",25.89698,-34.01632,"BRUV","NRF-SAIAB MARIP",20,4,2015,"SCYLIORHINUS","CAPENSIS",2015-04-20,25.89698,NA
"ONCORHYNCHUS TSHAWYTSCHA",-115.93472,46.12972,"LINEFISHING","ALBANO_P",5,9,2007,"ONCORHYNCHUS","TSHAWYTSCHA",2007-09-05,-115.93472,NA
"ISURUS OXYRINCHUS",31.096253,-29.713199,"LINEFISHING",NA,12,9,2020,"ISURUS","OXYRINCHUS",2020-09-12,31.096253,NA
"CARCHARHINUS OBSCURUS",32.859613,-26.910038,"LINEFISHING","ORI",15,12,1989,"CARCHARHINUS","OBSCURUS",1989-12-15,32.859613,NA
"ACROTERIOBATUS LEUCOSPILUS",35.603066,-22.923689,"LINEFISHING","ORI",9,12,2003,"ACROTERIOBATUS","LEUCOSPILUS",2003-12-09,35.603066,NA
"ACROTERIOBATUS ANNULATUS",32.867484,-27.01229,"LINEFISHING","ORI",3,6,1989,"ACROTERIOBATUS","ANNULATUS",1989-06-03,32.867484,NA
"PORODERMA AFRICANUM",29.10923,-32.041157,"LINEFISHING","ORI",19,12,1989,"PORODERMA","AFRICANUM",1989-12-19,29.10923,NA
"CARCHARIAS TAURUS",32.896197,-26.844469,"LINEFISHING","ORI",1,11,2003,"CARCHARIAS","TAURUS",2003-11-01,32.896197,NA
"SPHYRNA LEWINI",35.603066,-22.923689,"LINEFISHING","ORI",7,10,2012,"SPHYRNA","LEWINI",2012-10-07,35.603066,NA
"NOTORYNCHUS CEPEDIANUS",28.388196,-32.681041,"LINEFISHING","ORI",20,12,2012,"NOTORYNCHUS","CEPEDIANUS",2012-12-20,28.388196,NA
"ACROTERIOBATUS BLOCHII",18.126514,-32.764615,"LINEFISHING",NA,27,10,2012,"ACROTERIOBATUS","BLOCHII",2012-10-27,18.126514,NA
"DASYATIS BREVICAUDATA",18.47667,-34.23683,"UVC","CAPERADD",11,1,2018,"DASYATIS","BREVICAUDATA",2018-01-11,18.47667,NA
NA,32.9280555555556,-27.6677777777778,"UVC","DOSSANTOS_N",31,1,2021,NA,"",2021-01-31,32.9280555555556,NA
"UNKNOWN",32.68256,-27.53556,"UVC","DOSSANTOS_N",6,2,2021,"UNKNOWN","",2021-02-06,32.68256,NA
"TAENIURA LYMMA",32.92806,-27.66778,"UVC","DOSSANTOS_N",31,1,2021,"TAENIURA","LYMMA",2021-01-31,32.92806,NA
"HIMANTURA UARNAK",32.869144,-27.011784,"UVC","DOSSANTOS_N",30,1,2021,"HIMANTURA","UARNAK",2021-01-30,32.869144,NA
"HIMANTURA UNDULATA",32.869144,-27.011784,"UVC","DOSSANTOS_N",23,1,2020,"HIMANTURA","UNDULATA",2020-01-23,32.869144,NA
"NARKE CAPENSIS",18.328066,-34.134917,"UVC","ELMO",6,6,2016,"NARKE","CAPENSIS",2016-06-06,18.328066,NA
"NOTORYNCHOS CEPEDIANUS",18.48368333,-34.33451667,"UVC","SANPARKS",11,5,2020,"NOTORYNCHOS","CEPEDIANUS",2020-05-11,18.48368333,NA
"NS",32.710514,-27.463802,"UVC","SHARKLIFE",21,1,2020,"NS","",2020-01-21,32.710514,NA
"STEGOSTOMA FASCIATUM",32.712322,-27.443054,"UVC","SHARKLIFE",23,1,2020,"STEGOSTOMA","FASCIATUM",2020-01-23,32.712322,NA
"RHINOPTERA JAVANICA",32.683308,-27.534618,"UVC","SHARKLIFE",28,1,2020,"RHINOPTERA","JAVANICA",2020-01-28,32.683308,NA
"PASTINACHUS SEPHEN",32.717228,-27.435902,"UVC","SHARKLIFE",2,2,2020,"PASTINACHUS","SEPHEN",2020-02-02,32.717228,NA
"TORPEDO SINUSPERSICI",32.683308,-27.534618,"UVC","SHARKLIFE",21,2,2020,"TORPEDO","SINUSPERSICI",2020-02-21,32.683308,NA
"MOBULA BIROSTRIS",32.710514,-27.463802,"UVC","SHARKLIFE",1,3,2020,"MOBULA","BIROSTRIS",2020-03-01,32.710514,NA
"MOBULA ALFREDI",32.710514,-27.463802,"UVC","SHARKLIFE",9,3,2020,"MOBULA","ALFREDI",2020-03-09,32.710514,NA
"0",32.685593,-27.514023,"UVC","SHARKLIFE",8,9,2020,"0","",2020-09-08,32.685593,NA
"GYMNURA NATALENSIS",18.43802,-34.14166,"ACOUSTIC","PCOWLEY",23,1,2020,"GYMNURA","NATALENSIS",2020-01-23,NA,18.43802
"CARCHARHINUS BREVIPINNA",28.391333,-32.708083,"ACOUSTIC","RDALY",18,3,2021,"CARCHARHINUS","BREVIPINNA",2021-03-18,NA,28.391333
"GALEOCERDO CUVIER",19.69416,-34.77472,"ACOUSTIC","RDALY",29,1,2016,"GALEOCERDO","CUVIER",2016-01-29,NA,19.69416
"MUSTELUS MUSTELUS",-34.20138,-34.20138,"BRUV","Cape RADD",11,9,2018,"MUSTELUS","MUSTELUS",2018-09-11,NA,-34.20138
"PORODERMA AFRICANUM",-34.13537,-34.13537,"BRUV","Cape RADD",29,5,2019,"PORODERMA","AFRICANUM",2019-05-29,NA,-34.13537
